,presapp_foreignstr,guarpr_dpc,guarpr_rpc,envir_gwarm,envir_nuke,envir_drill,envjob_rpc,envjob_dpc,inspre_dpc,inspre_rpc,ineq_incgap_x,ineqinc_ineqreduc,econcand_rwin,econcand_dwin,immigpo_level,immigpo_jobs,immig_policy,milln_milltax_x,iran_nukeinvd,iran_nuksanct,china_econ,war_worthit,war_terror,israel_support,defsppr_dpc,defsppr_rpc,prevote_intpreswho,postvote_presvtwho,prevote_intpresst
0,2,3.0,7.0,2,2,3,7.0,2.0,2.0,-1.0,4.0,-1,3.0,1.0,-1.0,-1.0,3.0,-1.0,-1,-1,-1,1,2,-1,1.0,7.0,1.0,-1.0,1.0
1,2,1.0,7.0,1,1,1,7.0,1.0,1.0,7.0,5.0,3,3.0,1.0,3.0,1.0,4.0,7.0,-1,-1,3,1,2,3,4.0,7.0,1.0,1.0,1.0
2,2,1.0,7.0,2,2,3,7.0,1.0,1.0,7.0,5.0,1,3.0,1.0,2.0,4.0,3.0,7.0,3,3,-1,2,1,2,4.0,5.0,1.0,1.0,1.0
3,-1,1.0,7.0,2,2,1,4.0,1.0,1.0,7.0,3.0,1,3.0,1.0,3.0,4.0,3.0,4.0,1,3,-1,1,1,2,-1.0,-1.0,1.0,1.0,1.0
4,2,2.0,6.0,2,1,3,4.0,1.0,2.0,7.0,5.0,3,3.0,1.0,3.0,2.0,3.0,7.0,1,3,1,2,1,2,5.0,6.0,1.0,1.0,1.0
5,2,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,5.0,3,-1.0,-1.0,5.0,4.0,-1.0,7.0,3,3,3,2,-1,3,-1.0,-1.0,1.0,-1.0,1.0
6,2,6.0,5.0,1,3,1,3.0,4.0,7.0,5.0,4.0,2,3.0,1.0,1.0,2.0,3.0,7.0,1,1,3,2,1,2,5.0,5.0,1.0,1.0,1.0
7,2,7.0,7.0,-1,-1,-1,-1.0,-1.0,1.0,6.0,5.0,3,2.0,1.0,3.0,3.0,-1.0,3.0,1,1,3,2,2,2,1.0,7.0,1.0,-1.0,1.0
8,2,4.0,6.0,2,2,2,4.0,4.0,2.0,6.0,5.0,2,2.0,1.0,3.0,3.0,3.0,6.0,1,2,1,1,2,2,4.0,5.0,1.0,1.0,1.0
9,1,2.0,5.0,2,2,3,5.0,3.0,3.0,4.0,5.0,1,1.0,3.0,3.0,2.0,2.0,4.0,1,3,3,1,2,2,3.0,4.0,-1.0,-1.0,-1.0
10,2,2.0,7.0,2,3,3,6.0,2.0,2.0,7.0,4.0,2,1.0,2.0,1.0,3.0,2.0,7.0,1,3,3,1,2,2,3.0,6.0,2.0,2.0,2.0
11,1,-1.0,-1.0,2,2,3,-1.0,-1.0,5.0,-1.0,4.0,2,1.0,2.0,3.0,2.0,3.0,6.0,2,3,2,1,2,3,-1.0,-1.0,-1.0,-1.0,-1.0
12,1,5.0,7.0,2,3,3,6.0,4.0,5.0,3.0,5.0,3,2.0,1.0,3.0,2.0,3.0,6.0,2,3,1,2,2,2,4.0,3.0,1.0,1.0,2.0
13,2,4.0,5.0,2,1,2,4.0,4.0,6.0,5.0,5.0,1,2.0,2.0,3.0,1.0,2.0,6.0,1,1,1,1,2,3,6.0,4.0,-1.0,-1.0,-1.0
14,2,1.0,7.0,1,3,3,6.0,1.0,1.0,5.0,-1.0,1,1.0,3.0,2.0,3.0,1.0,2.0,3,3,1,2,1,1,1.0,5.0,2.0,2.0,1.0
15,2,1.0,6.0,-1,-1,3,-1.0,-1.0,1.0,6.0,5.0,1,1.0,3.0,2.0,3.0,3.0,-1.0,1,3,-1,1,3,-1,2.0,5.0,2.0,2.0,1.0
16,2,1.0,5.0,2,3,3,5.0,1.0,1.0,2.0,5.0,1,1.0,3.0,1.0,3.0,3.0,1.0,1,3,1,2,2,1,1.0,4.0,2.0,2.0,1.0
